ebn0_db,NONE,THREE_QUARTER_RATE,FIVE_SIXTH_RATE
2,8.026299e-02,1.133938e-01,1.026331e-01
2.25,7.741770e-02,1.054848e-01,9.733796e-02
2.5,7.175926e-02,1.003515e-01,9.286265e-02
2.75,6.664738e-02,9.309628e-02,8.470293e-02
3,6.158372e-02,8.592678e-02,8.030478e-02
3.25,5.860179e-02,7.966821e-02,7.446952e-02
3.5,5.413291e-02,7.425626e-02,7.067901e-02
3.75,4.935057e-02,6.105324e-02,6.378279e-02
4,4.700360e-02,5.301569e-02,5.754244e-02
4.25,4.218107e-02,2.987826e-02,5.263310e-02
4.5,3.814622e-02,1.331019e-02,4.640239e-02
4.75,3.441680e-02,6.580075e-03,3.799190e-02
5,3.243152e-02,4.072359e-04,2.933063e-02
5.25,2.866191e-02,7.144490e-05,1.738040e-02
5.5,2.531025e-02,3.151981e-05,8.786651e-03
5.75,2.368666e-02,0.000000e+00,2.546296e-03
6,2.001350e-02,0.000000e+00,1.032022e-03
6.25,1.789159e-02,0.000000e+00,4.693930e-05
6.5,1.576164e-02,0.000000e+00,0.000000e+00
6.75,1.360757e-02,0.000000e+00,0.000000e+00
7,1.141332e-02,0.000000e+00,0.000000e+00
7.25,1.043274e-02,0.000000e+00,0.000000e+00
7.5,8.849344e-03,0.000000e+00,0.000000e+00
7.75,7.241834e-03,0.000000e+00,0.000000e+00
8,6.060314e-03,0.000000e+00,0.000000e+00
8.25,5.192258e-03,0.000000e+00,0.000000e+00
8.5,4.517104e-03,0.000000e+00,0.000000e+00
8.75,3.568673e-03,0.000000e+00,0.000000e+00
9,2.700617e-03,0.000000e+00,0.000000e+00
9.25,1.977238e-03,0.000000e+00,0.000000e+00
9.5,1.535172e-03,0.000000e+00,0.000000e+00
9.75,1.366384e-03,0.000000e+00,0.000000e+00
10,1.044882e-03,0.000000e+00,0.000000e+00
10.25,6.992670e-04,0.000000e+00,0.000000e+00
10.5,5.907600e-04,0.000000e+00,0.000000e+00
10.75,4.380466e-04,0.000000e+00,0.000000e+00
11,2.839935e-04,0.000000e+00,0.000000e+00
11.25,2.150045e-04,0.000000e+00,0.000000e+00
11.5,1.343419e-04,0.000000e+00,0.000000e+00
11.75,1.014741e-04,0.000000e+00,0.000000e+00
12,5.749941e-05,0.000000e+00,0.000000e+00
12.25,3.895121e-05,0.000000e+00,0.000000e+00
12.5,2.287611e-05,0.000000e+00,0.000000e+00
12.75,2.349438e-05,0.000000e+00,0.000000e+00
13,1.236546e-05,0.000000e+00,0.000000e+00
