ebn0_db,NONE,THREE_QUARTER_RATE,FIVE_SIXTH_RATE
2,8.026299e-02,1.133402e-01,1.030768e-01
2.25,7.741770e-02,1.063422e-01,9.526427e-02
2.5,7.175926e-02,9.742584e-02,9.161844e-02
2.75,6.664738e-02,9.230324e-02,8.596644e-02
3,6.158372e-02,8.513374e-02,8.048804e-02
3.25,5.860179e-02,8.120070e-02,7.551119e-02
3.5,5.413291e-02,7.393476e-02,7.044753e-02
3.75,4.935057e-02,6.301440e-02,6.495949e-02
4,4.700360e-02,5.109739e-02,5.843943e-02
4.25,4.218107e-02,3.771219e-02,5.267168e-02
4.5,3.814622e-02,2.155135e-02,4.596836e-02
4.75,3.441680e-02,2.539866e-03,3.909144e-02
5,3.243152e-02,1.291367e-03,2.878086e-02
5.25,2.866191e-02,1.013968e-04,2.054398e-02
5.5,2.531025e-02,4.878514e-06,1.121721e-02
5.75,2.368666e-02,0.000000e+00,2.300347e-03
6,2.001350e-02,0.000000e+00,3.295396e-04
6.25,1.789159e-02,0.000000e+00,6.841966e-05
6.5,1.576164e-02,0.000000e+00,0.000000e+00
6.75,1.360757e-02,0.000000e+00,1.992781e-07
7,1.141332e-02,0.000000e+00,0.000000e+00
7.25,1.043274e-02,0.000000e+00,0.000000e+00
7.5,8.849344e-03,0.000000e+00,0.000000e+00
7.75,7.241834e-03,0.000000e+00,0.000000e+00
8,6.060314e-03,0.000000e+00,0.000000e+00
8.25,5.192258e-03,0.000000e+00,0.000000e+00
8.5,4.517104e-03,0.000000e+00,0.000000e+00
8.75,3.568673e-03,0.000000e+00,0.000000e+00
9,2.700617e-03,0.000000e+00,0.000000e+00
9.25,1.977238e-03,0.000000e+00,0.000000e+00
9.5,1.679848e-03,0.000000e+00,0.000000e+00
9.75,1.334234e-03,0.000000e+00,0.000000e+00
10,1.056938e-03,0.000000e+00,0.000000e+00
10.25,8.037551e-04,0.000000e+00,0.000000e+00
10.5,5.284690e-04,0.000000e+00,0.000000e+00
10.75,4.058963e-04,0.000000e+00,0.000000e+00
11,2.893519e-04,0.000000e+00,0.000000e+00
11.25,2.170139e-04,0.000000e+00,0.000000e+00
11.5,1.440061e-04,0.000000e+00,0.000000e+00
11.75,9.179730e-05,0.000000e+00,0.000000e+00
12,6.558642e-05,0.000000e+00,0.000000e+00
12.25,4.121821e-05,0.000000e+00,0.000000e+00
12.5,2.679184e-05,0.000000e+00,0.000000e+00
12.75,1.488435e-05,0.000000e+00,0.000000e+00
13,1.055914e-05,0.000000e+00,0.000000e+00
13.25,4.558611e-06,0.000000e+00,0.000000e+00
13.5,3.079062e-06,0.000000e+00,0.000000e+00
13.75,1.279610e-06,0.000000e+00,0.000000e+00
14,1.159647e-06,0.000000e+00,0.000000e+00
14.25,6.398051e-07,0.000000e+00,0.000000e+00
14.5,2.399269e-07,0.000000e+00,0.000000e+00
