ebn0_db,NONE,THREE_QUARTER_RATE,FIVE_SIXTH_RATE
0,7.902521e-02,1.193523e-01,1.053048e-01
0.25,7.376865e-02,1.100287e-01,9.731867e-02
0.5,6.746721e-02,1.035987e-01,9.124228e-02
0.75,6.121399e-02,9.340706e-02,8.343943e-02
1,5.504919e-02,8.609825e-02,7.658179e-02
1.25,5.046779e-02,7.862869e-02,6.981096e-02
1.5,4.608732e-02,6.871571e-02,6.563465e-02
1.75,4.131301e-02,5.678798e-02,5.765818e-02
2,3.734246e-02,3.999486e-02,4.913194e-02
2.25,3.332369e-02,8.262603e-03,4.076003e-02
2.5,3.002829e-02,2.818501e-03,3.240741e-02
2.75,2.626672e-02,3.858025e-04,1.955054e-02
3,2.276235e-02,0.000000e+00,5.507330e-03
3.25,1.972415e-02,0.000000e+00,1.634838e-03
3.5,1.789963e-02,0.000000e+00,1.684176e-04
3.75,1.440329e-02,0.000000e+00,1.213582e-05
4,1.255466e-02,0.000000e+00,0.000000e+00
4.25,1.084266e-02,0.000000e+00,0.000000e+00
4.5,9.323560e-03,0.000000e+00,0.000000e+00
4.75,7.241834e-03,0.000000e+00,0.000000e+00
5,6.124614e-03,0.000000e+00,0.000000e+00
5.25,4.854681e-03,0.000000e+00,0.000000e+00
5.5,4.123264e-03,0.000000e+00,0.000000e+00
5.75,2.933706e-03,0.000000e+00,0.000000e+00
6,2.234439e-03,0.000000e+00,0.000000e+00
6.25,1.800412e-03,0.000000e+00,0.000000e+00
6.5,1.378440e-03,0.000000e+00,0.000000e+00
6.75,9.886188e-04,0.000000e+00,0.000000e+00
7,7.287380e-04,0.000000e+00,0.000000e+00
7.25,6.215706e-04,0.000000e+00,0.000000e+00
7.5,4.139339e-04,0.000000e+00,0.000000e+00
7.75,2.514605e-04,0.000000e+00,0.000000e+00
8,1.857567e-04,0.000000e+00,0.000000e+00
8.25,1.261277e-04,0.000000e+00,0.000000e+00
8.5,9.550502e-05,0.000000e+00,0.000000e+00
8.75,5.598570e-05,0.000000e+00,0.000000e+00
9,3.382470e-05,0.000000e+00,0.000000e+00
9.25,2.108552e-05,0.000000e+00,0.000000e+00
9.5,1.196702e-05,0.000000e+00,0.000000e+00
9.75,7.237795e-06,0.000000e+00,0.000000e+00
10,3.398965e-06,0.000000e+00,0.000000e+00
10.25,1.599513e-06,0.000000e+00,0.000000e+00
10.5,7.997564e-07,0.000000e+00,0.000000e+00
10.75,5.598295e-07,0.000000e+00,0.000000e+00
11,0.000000e+00,0.000000e+00,0.000000e+00
