rate_arg,size_bytes,duration_s,offered_bps,delivered_bps,loss_pct,jitter_ms,lost,total
100k,256,5.0,100000.0,97600.0,2.4,29.809,6,247
100k,1024,5.0,100000.0,100000.0,1.6,8.084,1,64
100k,1400,5.0,100000.0,102000.0,0.0,24.45,0,47
500k,256,5.0,500000.0,489000.0,2.9,7.876,36,1223
500k,1024,5.0,500000.0,471000.0,5.5,25.91,17,308
500k,1400,5.0,500000.0,472000.0,5.8,31.863,13,226
1M,256,5.0,1000000.0,1040000.0,1.6,3.845,40,2562
1M,1024,5.0,1000000.0,1050000.0,0.62,13.949,4,642
1M,1400,5.0,1000000.0,1040000.0,2.3,18.405,11,471
3M,256,5.0,3000000.0,89900.0,29.0,3.299,2246,7683
3M,1024,5.0,3000000.0,2770000.0,2.0,5.368,38,1922
3M,1400,5.0,3000000.0,3000000.0,2.0,6.977,28,1407
