rate_arg,size_bytes,duration_s,offered_bps,delivered_bps,loss_pct,jitter_ms,lost,total
100k,256,5.0,100000.0,94300.0,6.5,30.414,16,247
100k,1024,5.0,100000.0,95500.0,6.2,7.802,4,64
100k,1400,5.0,100000.0,89100.0,13.0,26.998,6,47
500k,256,5.0,500000.0,483000.0,4.2,7.977,51,1223
500k,1024,5.0,500000.0,451000.0,9.4,26.243,29,308
500k,1400,5.0,500000.0,453000.0,11.0,32.167,25,226
1M,256,5.0,1000000.0,1020000.0,3.8,3.931,97,2562
1M,1024,5.0,1000000.0,919000.0,12.0,14.973,74,642
1M,1400,5.0,1000000.0,936000.0,10.0,19.388,48,471
3M,256,5.0,3000000.0,86800.0,32.0,3.397,2442,7683
3M,1024,5.0,3000000.0,2630000.0,6.8,5.644,130,1922
3M,1400,5.0,3000000.0,2840000.0,7.7,7.314,108,1407
